抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1995-04-28,"[4, 5, 9]","[2, 9, 8]",1,はずれ,0.939,BaseModel,予測5
1995-05-02,"[0, 3, 7]","[9, 8, 9]",0,はずれ,0.9417,BaseModel,予測1
1995-05-02,"[0, 1, 2]","[9, 8, 9]",0,はずれ,0.9418,BaseModel,予測2
1995-05-02,"[0, 4, 7]","[9, 8, 9]",0,はずれ,0.9417,BaseModel,予測3
1995-05-02,"[1, 5, 7]","[9, 8, 9]",0,はずれ,0.9416,BaseModel,予測4
1995-05-02,"[0, 4, 6]","[9, 8, 9]",0,はずれ,0.9408,BaseModel,予測5
1995-05-05,"[0, 4, 5]","[2, 0, 2]",1,はずれ,0.9382,BaseModel,予測1
1995-05-05,"[2, 3, 5]","[2, 0, 2]",1,はずれ,0.943,BaseModel,予測2
1995-05-05,"[0, 1, 2]","[2, 0, 2]",2,はずれ,0.9418,BaseModel,予測3
1995-05-05,"[1, 3, 4]","[2, 0, 2]",0,はずれ,0.9416,BaseModel,予測4
1995-05-05,"[1, 2, 6]","[2, 0, 2]",1,はずれ,0.9411,BaseModel,予測5
1995-05-09,"[5, 8, 9]","[4, 7, 6]",0,はずれ,0.9437,BaseModel,予測1
1995-05-09,"[4, 6, 7]","[4, 7, 6]",3,ボックス,1.0103,BaseModel,予測2
1995-05-09,"[4, 5, 7]","[4, 7, 6]",2,はずれ,0.9503,BaseModel,予測3
1995-05-09,"[0, 1, 2]","[4, 7, 6]",0,はずれ,0.9421,BaseModel,予測4
1995-05-09,"[1, 4, 6]","[4, 7, 6]",2,はずれ,0.9407,BaseModel,予測5
1995-05-12,"[2, 5, 8]","[0, 4, 2]",1,はずれ,0.9511,BaseModel,予測1
1995-05-12,"[0, 8, 9]","[0, 4, 2]",1,はずれ,0.9436,BaseModel,予測2
1995-05-12,"[0, 2, 8]","[0, 4, 2]",2,はずれ,0.9433,BaseModel,予測3
1995-05-12,"[0, 1, 3]","[0, 4, 2]",1,はずれ,0.9415,BaseModel,予測4
1995-05-12,"[3, 4, 8]","[0, 4, 2]",1,はずれ,0.9387,BaseModel,予測5
1995-05-16,"[2, 5, 9]","[8, 0, 2]",1,はずれ,0.94,BaseModel,予測1
1995-05-16,"[0, 2, 8]","[8, 0, 2]",3,ボックス,1.0163,BaseModel,予測2
1995-05-16,"[7, 8, 9]","[8, 0, 2]",1,はずれ,0.9522,BaseModel,予測3
1995-05-16,"[0, 1, 2]","[8, 0, 2]",2,はずれ,0.943,BaseModel,予測4
1995-05-16,"[6, 8, 9]","[8, 0, 2]",1,はずれ,0.9422,BaseModel,予測5
1995-05-19,"[0, 3, 6]","[7, 1, 7]",0,はずれ,0.9377,BaseModel,予測1
1995-05-19,"[4, 7, 9]","[7, 1, 7]",1,はずれ,0.9522,BaseModel,予測2
1995-05-19,"[3, 4, 5]","[7, 1, 7]",0,はずれ,0.9421,BaseModel,予測3
1995-05-19,"[3, 5, 7]","[7, 1, 7]",1,はずれ,0.942,BaseModel,予測4
1995-05-19,"[1, 3, 4]","[7, 1, 7]",1,はずれ,0.9418,BaseModel,予測5
1995-05-23,"[0, 4, 8]","[8, 8, 9]",1,はずれ,0.9432,BaseModel,予測1
1995-05-23,"[2, 8, 9]","[8, 8, 9]",2,ミニ,0.9446,BaseModel,予測2
1995-05-23,"[5, 8, 9]","[8, 8, 9]",2,ミニ,0.9438,BaseModel,予測3
1995-05-23,"[0, 1, 2]","[8, 8, 9]",0,はずれ,0.9433,BaseModel,予測4
1995-05-23,"[0, 3, 5]","[8, 8, 9]",0,はずれ,0.942,BaseModel,予測5
1995-05-26,"[9, 8, 9]","[2, 2, 6]",0,はずれ,0.91,PPO/Diffusion,予測1
1995-05-26,"[0, 2, 3]","[2, 2, 6]",1,はずれ,0.9435,BaseModel,予測2
1995-05-26,"[0, 3, 5]","[2, 2, 6]",0,はずれ,0.942,BaseModel,予測3
1995-05-26,"[4, 5, 6]","[2, 2, 6]",1,はずれ,0.9413,BaseModel,予測4
1995-05-26,"[3, 5, 8]","[2, 2, 6]",0,はずれ,0.9389,BaseModel,予測5
1995-05-30,"[0, 3, 9]","[7, 2, 8]",0,はずれ,0.9437,BaseModel,予測1
1995-05-30,"[2, 7, 8]","[7, 2, 8]",3,ボックス,1.0193,BaseModel,予測2
1995-05-30,"[0, 4, 7]","[7, 2, 8]",1,はずれ,0.9509,BaseModel,予測3
1995-05-30,"[1, 8, 9]","[7, 2, 8]",1,はずれ,0.9439,BaseModel,予測4
1995-05-30,"[3, 7, 9]","[7, 2, 8]",1,はずれ,0.9439,BaseModel,予測5
1995-06-02,"[3, 4, 6]","[9, 2, 9]",0,はずれ,0.9414,BaseModel,予測1
1995-06-02,"[2, 9, 9]","[9, 2, 9]",2,ボックス,1.0234,BaseModel,予測2
1995-06-02,"[0, 4, 9]","[9, 2, 9]",1,はずれ,0.9523,BaseModel,予測3
1995-06-02,"[0, 1, 2]","[9, 2, 9]",1,はずれ,0.9436,BaseModel,予測4
1995-06-02,"[1, 8, 9]","[9, 2, 9]",1,はずれ,0.9398,BaseModel,予測5
1995-06-06,"[0, 3, 6]","[8, 3, 6]",2,ミニ,0.9378,BaseModel,予測1
1995-06-06,"[3, 6, 8]","[8, 3, 6]",3,ボックス,1.0132,BaseModel,予測2
1995-06-06,"[0, 4, 7]","[8, 3, 6]",0,はずれ,0.951,BaseModel,予測3
1995-06-06,"[3, 7, 8]","[8, 3, 6]",2,はずれ,0.9436,BaseModel,予測4
1995-06-06,"[1, 4, 7]","[8, 3, 6]",0,はずれ,0.9388,BaseModel,予測5
1995-06-09,"[2, 5, 9]","[3, 8, 3]",0,はずれ,0.945,BaseModel,予測1
1995-06-09,"[3, 3, 8]","[3, 8, 3]",2,ボックス,1.0163,BaseModel,予測2
1995-06-09,"[1, 7, 9]","[3, 8, 3]",0,はずれ,0.944,BaseModel,予測3
1995-06-09,"[0, 1, 2]","[3, 8, 3]",0,はずれ,0.9437,BaseModel,予測4
1995-06-09,"[1, 4, 7]","[3, 8, 3]",0,はずれ,0.9388,BaseModel,予測5
1995-06-13,"[1, 5, 9]","[4, 1, 0]",1,はずれ,0.9436,BaseModel,予測1
1995-06-13,"[0, 1, 4]","[4, 1, 0]",3,ボックス,1.0134,BaseModel,予測2
1995-06-13,"[2, 4, 7]","[4, 1, 0]",1,はずれ,0.9528,BaseModel,予測3
1995-06-13,"[0, 7, 9]","[4, 1, 0]",1,はずれ,0.9443,BaseModel,予測4
1995-06-13,"[3, 4, 7]","[4, 1, 0]",1,はずれ,0.9393,BaseModel,予測5
1995-06-16,"[2, 7, 8]","[9, 8, 0]",1,はずれ,0.945,BaseModel,予測1
1995-06-16,"[0, 8, 9]","[9, 8, 0]",3,ボックス,1.0204,BaseModel,予測2
1995-06-16,"[2, 3, 7]","[9, 8, 0]",0,はずれ,0.9529,BaseModel,予測3
1995-06-16,"[5, 8, 9]","[9, 8, 0]",2,はずれ,0.9446,BaseModel,予測4
1995-06-16,"[2, 6, 8]","[9, 8, 0]",1,はずれ,0.944,BaseModel,予測5
1995-06-20,"[0, 4, 8]","[5, 4, 2]",1,はずれ,0.9399,BaseModel,予測1
1995-06-20,"[2, 4, 5]","[5, 4, 2]",3,ボックス,1.0183,BaseModel,予測2
